symbol,isin,company,industry
AARTIDRUGS,INE767A01016,Aarti Drugs Ltd.,Healthcare
AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Ltd.,Healthcare
ACI,INE128X01021,Archean Chemical Industries Ltd.,Chemicals
ADVENZYMES,INE837H01020,Advanced Enzyme Tech Ltd.,Healthcare
AEQUS,INE947N01017,Aequs Ltd.,Capital Goods
AETHER,INE0BWX01014,Aether Industries Ltd.,Chemicals
AGARWALEYE,INE943P01029,Dr. Agarwal's Health Care Ltd.,Healthcare
AGL,INE1YPB01014,Allcargo Global Ltd.,Services
AHLUCONT,INE758C01029,Ahluwalia Contracts (India) Ltd.,Construction
AKUMS,INE09XN01023,Akums Drugs and Pharmaceuticals Ltd.,Healthcare
ALIVUS,INE03Q201024,Alivus Life Sciences Ltd.,Healthcare
ALKYLAMINE,INE150B01039,Alkyl Amines Chemicals Ltd.,Chemicals
ALOKINDS,INE270A01029,Alok Industries Ltd.,Textiles
ANUP,INE294Z01018,The Anup Engineering Ltd.,Capital Goods
APLLTD,INE901L01018,Alembic Pharmaceuticals Ltd.,Healthcare
APOLLO,INE713T01028,Apollo Micro Systems Ltd.,Capital Goods
ARVIND,INE034A01011,Arvind Ltd.,Textiles
ARVINDFASN,INE955V01021,Arvind Fashions Ltd.,Consumer Services
ASHAPURMIN,INE348A01023,Ashapura Minechem Ltd.,Metals & Mining
ASHOKA,INE442H01029,Ashoka Buildcon Ltd.,Construction
ASKAUTOLTD,INE491J01022,ASK Automotive Ltd.,Automobile and Auto Components
